"Benchmark","Mode","Threads","Samples","Score","Score Error","Unit","Param: size","Param: sparsity"
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"3,000000",NaN,"counts",1024,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"10,000000",NaN,"ms",1024,0.9
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"2,807139","0,053338","ms/op",128,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"513,196886","6,825693","MB/sec",128,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"2382587,058278","0,026855","B/op",128,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"137,000000",NaN,"counts",128,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"254,000000",NaN,"ms",128,0.0
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"0,932010","0,011891","ms/op",128,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"686,905933","11,708110","MB/sec",128,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"1689185,079020","50,358741","B/op",128,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"183,000000",NaN,"counts",128,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"338,000000",NaN,"ms",128,0.5
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"0,272184","0,022702","ms/op",128,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"581,391491","44,675855","MB/sec",128,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"768394,228907","115,093093","B/op",128,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"156,000000",NaN,"counts",128,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"246,000000",NaN,"ms",128,0.9
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"23,085267","2,848826","ms/op",256,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"321,262406","37,769913","MB/sec",256,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"10125340,755016","2,525823","B/op",256,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"85,000000",NaN,"counts",256,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"143,000000",NaN,"ms",256,0.0
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"6,074429","0,092072","ms/op",256,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"645,455577","10,672944","MB/sec",256,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"7938379,908079","398,479723","B/op",256,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"173,000000",NaN,"counts",256,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"363,000000",NaN,"ms",256,0.5
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"1,199818","0,021520","ms/op",256,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"822,853836","17,193601","MB/sec",256,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"4346257,714358","1049,836019","B/op",256,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"184,000000",NaN,"counts",256,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"367,000000",NaN,"ms",256,0.9
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"160,079264","0,819581","ms/op",512,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"250,011593","0,820876","MB/sec",512,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"49040680,118519","1,020480","B/op",512,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"71,000000",NaN,"counts",512,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"303,000000",NaN,"ms",512,0.0
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"44,338691","0,615727","ms/op",512,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"487,031021","5,600780","MB/sec",512,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"34193488,786183","1866,887211","B/op",512,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"92,000000",NaN,"counts",512,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"430,000000",NaN,"ms",512,0.5
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"7,092240","0,093425","ms/op",512,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"936,082619","11,565137","MB/sec",512,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"22037783,632888","3196,879275","B/op",512,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"171,000000",NaN,"counts",512,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"408,000000",NaN,"ms",512,0.9
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"1368,495366","157,463729","ms/op",1024,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"114,880623","13,625669","MB/sec",1024,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"186160920,457143","99,265620","B/op",1024,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"97,000000",NaN,"counts",1024,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"2694,000000",NaN,"ms",1024,0.0
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"368,342241","12,125542","ms/op",1024,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"253,507320","7,718023","MB/sec",1024,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"130677408,076190","18325,557923","B/op",1024,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"231,000000",NaN,"counts",1024,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"4846,000000",NaN,"ms",1024,0.5
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"72,038813","4,970007","ms/op",1024,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"567,969894","22,206012","MB/sec",1024,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"90556465,123048","9483,794624","B/op",1024,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"566,000000",NaN,"counts",1024,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"12852,000000",NaN,"ms",1024,0.9
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"1,849839","0,025495","ms/op",128,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"664,378809","9,103050","MB/sec",128,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"2393311,933257","21,007366","B/op",128,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"177,000000",NaN,"counts",128,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"315,000000",NaN,"ms",128,0.0
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"1,863986","0,029227","ms/op",128,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"491,270569","8,601682","MB/sec",128,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"1699979,550872","61,400880","B/op",128,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"131,000000",NaN,"counts",128,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"236,000000",NaN,"ms",128,0.5
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"1,849831","0,021332","ms/op",128,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"416,042296","3,021555","MB/sec",128,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"1233913,528725","64,690936","B/op",128,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"110,000000",NaN,"counts",128,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"203,000000",NaN,"ms",128,0.9
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"13,466431","0,235471","ms/op",256,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"684,155861","11,191955","MB/sec",256,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"14318422,527861","62,601768","B/op",256,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"153,000000",NaN,"counts",256,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"333,000000",NaN,"ms",256,0.0
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"13,279807","0,194962","ms/op",256,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"609,008890","7,920500","MB/sec",256,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"12131466,789068","370,284407","B/op",256,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"163,000000",NaN,"counts",256,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"335,000000",NaN,"ms",256,0.5
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"13,299050","0,357492","ms/op",256,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"525,589016","13,991760","MB/sec",256,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"9465550,059527","589,846815","B/op",256,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"141,000000",NaN,"counts",256,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"284,000000",NaN,"ms",256,0.9
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"94,790363","1,013181","ms/op",512,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"733,662600","7,680300","MB/sec",512,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"93339859,431325","0,813141","B/op",512,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"114,000000",NaN,"counts",512,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"396,000000",NaN,"ms",512,0.0
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"95,300703","2,283420","ms/op",512,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"631,830817","11,764834","MB/sec",512,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"78493013,641368","1626,570302","B/op",512,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"131,000000",NaN,"counts",512,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"402,000000",NaN,"ms",512,0.5
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"96,998816","10,384212","ms/op",512,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"576,946065","56,101218","MB/sec",512,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"68132943,919457","919,636066","B/op",512,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"132,000000",NaN,"counts",512,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"346,000000",NaN,"ms",512,0.9
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"759,707380","11,254811","ms/op",1024,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"617,159522","10,465725","MB/sec",1024,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"579171474,133333","8,591146","B/op",1024,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"297,000000",NaN,"counts",1024,0.0
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"3656,000000",NaN,"ms",1024,0.0
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"730,543460","19,224556","ms/op",1024,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"599,021397","11,605065","MB/sec",1024,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"523690866,830769","19301,483034","B/op",1024,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"442,000000",NaN,"counts",1024,0.5
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"2026,000000",NaN,"ms",1024,0.5
"utils.BenchmarkRunner.strassenMultiply","avgt",1,5,"692,377727","14,543268","ms/op",1024,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate","avgt",1,5,"611,955300","13,229852","MB/sec",1024,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.alloc.rate.norm","avgt",1,5,"484425409,600000","4592,748930","B/op",1024,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.count","avgt",1,5,"172,000000",NaN,"counts",1024,0.9
"utils.BenchmarkRunner.strassenMultiply:gc.time","avgt",1,5,"1029,000000",NaN,"ms",1024,0.9
